Theta1,Theta2
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
2.3148,1.80303
1.77255,1.80303
2.30003,1.81471
1.76278,1.81471
2.28565,1.82632
1.75322,1.82632
2.27162,1.83786
1.74388,1.83786
2.25794,1.84933
1.73475,1.84933
2.24459,1.86074
1.72583,1.86074
2.23156,1.87208
1.71711,1.87208
2.21883,1.88336
1.70859,1.88336
2.20638,1.89457
1.70027,1.89457
2.19422,1.90572
1.69214,1.90572
2.18233,1.91681
1.6842,1.91681
2.17069,1.92783
1.67645,1.92783
2.15931,1.9388
1.66888,1.9388
2.14817,1.9497
1.6615,1.9497
2.13726,1.96054
1.65429,1.96054
2.12658,1.97132
1.64726,1.97132
2.11612,1.98204
1.6404,1.98204
2.10587,1.9927
1.63371,1.9927
2.09584,2.00331
1.62719,2.00331
2.086,2.01385
1.62084,2.01385
2.07636,2.02434
1.61465,2.02434
2.06691,2.03476
1.60862,2.03476
2.05765,2.04513
1.60275,2.04513
2.04857,2.05545
1.59703,2.05545
2.03966,2.0657
1.59147,2.0657
2.03093,2.0759
1.58606,2.0759
2.02237,2.08604
1.58079,2.08604
2.01397,2.09613
1.57568,2.09613
2.00574,2.10616
1.57071,2.10616
1.99766,2.11613
1.56588,2.11613
1.98974,2.12604
1.5612,2.12604
1.98196,2.1359
1.55665,2.1359
1.97434,2.1457
1.55224,2.1457
1.96686,2.15544
1.54797,2.15544
1.95952,2.16512
1.54382,2.16512
1.95232,2.17475
1.53981,2.17475
1.94526,2.18432
1.53593,2.18432
1.93834,2.19383
1.53217,2.19383
1.93154,2.20328
1.52854,2.20328
1.92487,2.21267
1.52503,2.21267
1.91834,2.22201
1.52164,2.22201
1.91192,2.23128
1.51837,2.23128
1.90563,2.2405
1.51522,2.2405
1.89946,2.24965
1.51218,2.24965
1.89341,2.25874
1.50925,2.25874
1.88747,2.26777
1.50643,2.26777
1.88165,2.27674
1.50373,2.27674
1.87594,2.28564
1.50112,2.28564
1.87034,2.29448
1.49863,2.29448
1.86485,2.30326
1.49623,2.30326
1.85947,2.31196
1.49394,2.31196
1.8542,2.32061
1.49175,2.32061
1.84903,2.32918
1.48965,2.32918
1.84396,2.33769
1.48764,2.33769
1.83899,2.34612
1.48573,2.34612
1.83412,2.35449
1.48391,2.35449
1.82936,2.36278
