X,Y,U,V
15.3331,-1.73554,-3.75457,-0.182312
15.3706,-1.73371,-3.75537,-0.183008
15.4082,-1.73188,-3.75609,-0.18383
15.4458,-1.73003,-3.75669,-0.184771
15.4833,-1.72817,-3.75718,-0.185824
15.5209,-1.7263,-3.75755,-0.186982
15.5585,-1.72442,-3.75778,-0.188234
15.5961,-1.72252,-3.75788,-0.189573
15.6336,-1.72061,-3.75784,-0.190987
15.6712,-1.71869,-3.75764,-0.192468
15.7088,-1.71675,-3.75728,-0.194003
15.7464,-1.71479,-3.75676,-0.195582
15.7839,-1.71282,-3.75606,-0.197193
15.8215,-1.71083,-3.7552,-0.198825
15.859,-1.70883,-3.75414,-0.200465
15.8965,-1.70681,-3.75291,-0.2021
15.9341,-1.70477,-3.75148,-0.203718
15.9716,-1.70272,-3.74985,-0.205306
16.009,-1.70065,-3.74803,-0.206851
16.0465,-1.69856,-3.746,-0.208339
16.0839,-1.69647,-3.74376,-0.209757
16.1214,-1.69435,-3.74131,-0.211092
16.1587,-1.69223,-3.73865,-0.212329
16.1961,-1.6901,-3.73577,-0.213455
16.2334,-1.68795,-3.73267,-0.214455
16.2707,-1.6858,-3.72935,-0.215316
16.308,-1.68364,-3.7258,-0.216023
16.3452,-1.68147,-3.72203,-0.216562
16.3824,-1.6793,-3.71802,-0.216917
16.4195,-1.67713,-3.71378,-0.217075
16.4566,-1.67496,-3.70931,-0.217021
16.4937,-1.6728,-3.7046,-0.216738
16.5306,-1.67063,-3.69965,-0.216212
16.5676,-1.66848,-3.69445,-0.215426
16.6045,-1.66634,-3.68902,-0.214365
16.6413,-1.66421,-3.68334,-0.213012
16.6781,-1.66209,-3.67741,-0.211351
16.7148,-1.66,-3.67124,-0.209364
16.7515,-1.65793,-3.66481,-0.207034
16.788,-1.65588,-3.65814,-0.204343
16.8245,-1.65387,-3.65121,-0.201272
16.861,-1.65189,-3.64404,-0.197803
16.8974,-1.64995,-3.63661,-0.193918
16.9336,-1.64806,-3.62894,-0.189595
16.9699,-1.64621,-3.62102,-0.184815
17.006,-1.64442,-3.61286,-0.179558
17.042,-1.64268,-3.60446,-0.173803
17.078,-1.641,-3.59582,-0.16753
17.1139,-1.63939,-3.58696,-0.160717
17.1496,-1.63786,-3.57788,-0.153342
17.1853,-1.63641,-3.56858,-0.145385
17.2209,-1.63504,-3.55909,-0.136826
17.2564,-1.63376,-3.54941,-0.127642
17.2918,-1.63258,-3.53956,-0.117815
17.3271,-1.63151,-3.52956,-0.107325
17.3623,-1.63055,-3.51943,-0.0961536
17.3974,-1.62971,-3.5092,-0.0842841
17.4324,-1.62899,-3.49888,-0.0717012
17.4673,-1.62841,-3.48852,-0.0583919
17.502,-1.62796,-3.47814,-0.0443453
17.5367,-1.62767,-3.46778,-0.0295536
17.5713,-1.62753,-3.45748,-0.0140121
17.6058,-1.62755,-3.44729,0.00227979
17.6401,-1.62774,-3.43726,0.0193185
17.6744,-1.62811,-3.42743,0.0370957
17.7086,-1.62867,-3.41787,0.0555973
17.7427,-1.62942,-3.40864,0.0748037
17.7767,-1.63036,-3.3998,0.0946883
17.8106,-1.63152,-3.39142,0.115218
17.8444,-1.63288,-3.38356,0.136352
17.8782,-1.63446,-3.37629,0.158041
17.9119,-1.63626,-3.3697,0.18023
17.9455,-1.63829,-3.36386,0.202852
17.9791,-1.64055,-3.35883,0.225833
18.0127,-1.64304,-3.35469,0.249091
18.0462,-1.64577,-3.35174,0.272733
18.0797,-1.64874,-3.35037,0.296934
18.1132,-1.65195,-3.35009,0.321083
18.1467,-1.6554,-3.35094,0.345068
18.1802,-1.65909,-3.35299,0.368767
18.2138,-1.66301,-3.35628,0.392055
18.2474,-1.66716,-3.36084,0.414803
18.2811,-1.67152,-3.3667,0.436878
18.3148,-1.67611,-3.37389,0.458144
18.3486,-1.68089,-3.38239,0.478468
18.3825,-1.68587,-3.39221,0.497717
18.4166,-1.69102,-3.40332,0.515763
18.4507,-1.69635,-3.41569,0.53248
18.485,-1.70183,-3.42928,0.547752
18.5195,-1.70744,-3.44403,0.561469
18.5541,-1.71318,-3.45986,0.573534
18.5888,-1.71902,-3.4767,0.583857
18.6238,-1.72494,-3.49446,0.592365
18.6589,-1.73093,-3.51304,0.598996
18.6942,-1.73697,-3.53233,0.603702
18.7297,-1.74303,-3.55222,0.606451
18.7655,-1.7491,-3.57258,0.607226
18.8014,-1.75516,-3.5933,0.606024
18.8375,-1.76119,-3.61426,0.602857
18.8739,-1.76717,-3.63533,0.597754
18.9105,-1.77308,-3.65638,0.590755
18.9472,-1.7789,-3.67731,0.581915
18.9842,-1.78461,-3.69799,0.571298
19.0214,-1.7902,-3.71832,0.558984
19.0588,-1.79565,-3.73819,0.545059
19.0958,-1.80096,-3.70461,0.530863
19.1331,-1.80615,-3.72401,0.519199
19.1705,-1.81121,-3.74297,0.505982
19.2076,-1.81615,-3.7107,0.49407
19.2449,-1.82098,-3.72926,0.482924
19.2824,-1.82568,-3.74741,0.470279
19.3195,-1.83029,-3.71633,0.460404
19.3569,-1.83478,-3.73415,0.449669
19.3939,-1.83917,-3.7039,0.438353
19.4311,-1.84346,-3.72136,0.429434
19.4685,-1.84765,-3.73851,0.419046
19.5056,-1.85175,-3.70922,0.4095
19.5429,-1.85576,-3.72606,0.400807
19.5803,-1.85966,-3.74261,0.390692
19.6174,-1.86349,-3.71421,0.382759
19.6547,-1.86723,-3.7305,0.374234
19.6918,-1.87088,-3.70272,0.364873
19.729,-1.87446,-3.71873,0.357878
19.7663,-1.87795,-3.73452,0.34949
19.8034,-1.88137,-3.70746,0.34157
19.8406,-1.88472,-3.72302,0.33463
19.878,-1.88798,-3.73835,0.326338
19.9151,-1.89118,-3.71197,0.319755
19.9524,-1.89431,-3.7271,0.312837
19.9898,-1.89735,-3.74201,0.304606
20.0274,-1.9003,-3.75662,0.295113
20.0651,-1.90315,-3.77087,0.284419
20.1029,-1.90587,-3.78468,0.272591
20.1409,-1.90847,-3.798,0.259699
20.179,-1.91093,-3.81078,0.245821
20.2172,-1.91324,-3.82296,0.231035
